課-序號,序號,生詞,漢拼,詞類,越譯,泰譯,緬譯,日譯,韓譯,韓譯,冊
10-2,5,衣服,yīfú,N,quần áo,เสื้อผ้า (suea pha),အဝတ်အစား (a wut a sar),服 (fuku),옷 (ot),,1
10-2,6,旅館,lǚguǎn,N,khách sạn,โรงแรม (rong raem),ဟိုတယ် (ho tel),ホテル (hoteru),호텔 (hotel),,1
10-2,7,太太,tàitai,N,vợ,ภรรยา (phan ra ya),ဇနီး (za nee),妻 (tsuma),아내 (anae),,1
10-2,8,男+noun,nán,N,nam,ชาย (chai),အမျိုးသား (a myo tha),男 (otoko),남자 (namja),,1
10-2,9,矮,ǎi,Vs,thấp,เตี้ย (tia),ပု (pu),背が低い (se ga hikui),키가 작다 (kiga jakda),,1
10-2,10,高,gāo,Vs,cao,สูง (sung),အရပ်ရှည် (a yat shay),背が高い (se ga takai),키가 크다 (kiga keuda),,1
10-2,11,弟弟,dìdi,N,em trai,น้องชาย (nong chai),ညီ (nyi),弟 (otōto),남동생 (namdongsaeng),,1
10-2,12,乾淨,gānjìng,Vs,sạch sẽ,สะอาด (sa at),သန့်ရှင်း (thant shin),清潔 (seiketsu),깨끗하다 (kkaekkeuthada),,1
10-2,13,窗戶,chuānghù,N,cửa sổ,หน้าต่าง (na tang),ပြတင်းပေါက် (pya tin pauk),窓 (mado),창문 (changmun),,1
10-2,14,往,wǎng,Prep,hướng về,ไปทาง (pai thang),ဆီသို့ (see thoe),～へ (he),~쪽으로 (jjogeuro),,1
10-2,15,藍色,lánsè,N,xanh dương,สีฟ้า (see fa),အပြာရောင် (a pyar yaung),青 (ao),파란색 (paransaek),,1
10-2,16,因為,yīnwèi,Conj,bởi vì,เพราะ (phro),လို့ (lo),なぜなら (nazenara),왜냐하면 (waenyahamyen),,1
10-2,17,住,zhù,V,ở lại,พัก (phak),တည်းခိုသည် (tee kho thi),滞在する (taizai suru),머물다 (meomulda),,1
10-2,18,上個月,shàng ge yuè,,tháng trước,เดือนที่แล้ว (duean thee laeo),ပြီးခဲ့တဲ့လ (pyi khel tae la),先月 (sengetsu),지난 달 (jinan dal),,1
10-2,19,這些,zhèxiē,,những cái này,เหล่านี้ (lao nee),ဒီဟာတွေ (de har tway),これら (korera),이것들 (igeotdeul),,1
11-1,1,租,zū,V,thuê,เช่า (chao),ငှားသည် (hnar thi),借りる (kariru),빌리다 (billida),,1
11-1,2,房東,fángdōng,N,chủ nhà,เจ้าของบ้าน (chao khong ban),အိမ်ရှင် (ein shin),大家 (ōya),집주인 (jipjuin),,1
11-1,3,客廳,kètīng,N,phòng khách,ห้องนั่งเล่น (hong nang len),ဧည့်ခန်း (e khan),リビング (ribingu),거실 (geosil),,1
11-1,4,廚房,chúfáng,N,nhà bếp,ห้องครัว (hong khrua),မီးဖိုချောင် (mee pho chaung),台所 (daidokoro),부엌 (bueok),,1
11-1,5,左邊,zuǒbiān,N,bên trái,ซ้าย (sai),ဘယ်ဘက် (bal bet),左 (hidari),왼쪽 (oenjjok),,1
11-1,6,右邊,yòubiān,N,bên phải,ขวา (khwa),ညာဘက် (nyar bet),右 (migi),오른쪽 (oreunjjok),,1
11-1,7,浴室,yùshì,N,phòng tắm,ห้องน้ำ (hong nam),ရေချိုးခန်း (yay cho khan),浴室 (yokushitsu),욕실 (yoksil),,1
11-1,8,超市,chāoshì,N,siêu thị,ซูเปอร์มาร์เก็ต (su poe ma ket),စူပါမားကတ် (super market),スーパー (sūpā),슈퍼마켓 (syupeomaket),,1
11-1,9,走路,zǒulù,V-sep,đi bộ,เดิน (doen),လမ်းလျှောက်သည် (lan shauk thi),歩く (aruku),걷다 (geotda),,1
11-1,10,分鐘,fēnzhōng,M,phút,นาที (na thee),မိနစ် (mi nit),分 (fun),분 (bun),,1
11-1,11,就,jiù,Adv,chỉ,แค่ (khae),မျှသာ (hmya thar),だけ (dake),단지 / 오직 (danji / ojik),,1
11-1,12,到,dào,Vp,đến,ถึง (thueng),ရောက်သည် (yauk thi),着く (tsuku),도착하다 (dochakhada),,1
11-1,13,間,jiān,M,căn / ngôi,หลัง (lang),လုံး (lone),軒 (ken),채 (chae),,1
11-1,14,空,kōng,Vs,trống,ว่าง (wang),လွတ် (lut),空いている (aiteiru),비어 있다 (bieo itda),,1
11-1,15,房間,fángjiān,N,phòng,ห้อง (hong),အခန်း (a khan),部屋 (heya),방 (bang),,1
11-1,16,套房,tàofáng,N,phòng căn hộ,ห้องชุด (hong chut),အခန်းชุด (a khan chut),スイート (suīto),스위트룸 (seuwideurum),,1
11-1,17,回去,huíqù,Vi,quay về,กลับ (klap),ပြန်သည် (pyan thi),戻る (modoru),돌아가다 (doragada),,1
11-1,18,想,xiǎng,V,nghĩ,คิด (khit),ထင်သည် (htin thi),思う (omou),생각하다 (saenggakhada),,1
11-1,19,再,zài,Adv,sau đó,แล้วก็ (laeo ko),ပြီးတော့ (pyi taw),それから (sorekara),그리고 나서 (geurigo naseo),,1
11-1,20,電話,diànhuà,N,điện thoại,โทรศัพท์ (tho ra sap),ဖုန်း (phone),電話 (denwa),전화 (jeonhwa),,1
11-1,21,給,gěi,Prep,tới / cho,ถึง (thueng),သို့ (thoe),～へ (he),~에게 (ege),,1
11-1,22,林,lín,N,Họ (Trung Quốc),แซ่... (sae...),အမည် (a myin),（中国の）姓 (Chūgoku no sei),성 (seong),,1
11-1,23,打電話,dǎ diànhuà,,gọi điện thoại,โทรศัพท์ (tho ra sap),ဖုန်းခေါ်သည် (phone khaw thi),電話をかける (denwa o kakeru),전화하다 (jeonhwahada),,1
11-2,1,喂,wéi,Ptc,ơi / này,...จ๊ะ (ja),ရေ (yay),～さん (san),~야 / ~아 (ya / a),,1
11-2,2,房租,fángzū,N,tiền thuê nhà,ค่าเช่า (kha chao),အိမ်လခ (ein la kha),家賃 (yachin),임대료 (imdaeryo),,1
11-2,3,已經,yǐjīng,Adv,rồi,แล้ว (laeo),ပြီ (pyi),もう (mō),이미 / 벌써 (imi / beolsseo),,1
11-2,4,習慣,xíguàn,Vs,quen với,ชิน (chin),အသားကျသည် (a thar kya thi),慣れる (nareru),익숙해지다 (iksukhaejida),,1
11-2,5,問題,wèntí,N,vấn đề,ปัญหา (pan ha),ပြဿနာ (pyat tha nar),問題 (mondai),문제 (munje),,1
11-2,6,熱水器,rèshuǐqì,N,máy nước nóng,เครื่องทำน้ำอุ่น (khrueang tham nam un),ရေနွေးစက် (yay nway set),給湯器 (kyūtōki),온수기 (onsugi),,1
11-2,7,好像,hǎoxiàng,Adv,dường như,ดูเหมือน (du muean),ပုံရသည် (pone ya thi),～ようだ (yō da),~인 것 같다 (in geot gatda),,1
11-2,8,會,huì,Vaux,sẽ,จะ (cha),မည် (myi),～するつもり (suru tsumori),~할 것이다 (hal geosida),,1
11-2,9,等,děng,V,đợi,รอ (ro),စောင့်သည် (saunt thi),待つ (matsu),기다리다 (gidarida),,1
11-2,10,那,nà,Ptc,vậy thì,งั้น (ngan),ဒါဆို (dar so),じゃあ (jā),그러면 (geureomyeon),,1
11-2,11,裝,zhuāng,V,lắp đặt,ติดตั้ง (tit tang),တပ်ဆင်သည် (tat sin thi),設置する (setchi suru),설치하다 (seolchihada),,1
11-2,12,不過,búguò,Conj,tuy nhiên,อย่างไรก็ตาม (yang rai ko tam),သို့သော် (thoe thaw),しかし (shikashi),그러나 (geureona),,1
11-2,13,付,fù,V,trả tiền,จ่าย (jai),ပေးသည် (pay thi),払う (harau),지불하다 (jibulhada),,1
11-2,14,收到,shōudào  ,,nhận,รับ (rap),လက်ခံသည် (let khan thi),受け取る (uketoru),받다 (batda),,1
11-2,15,不好意思,bùhǎo yìsi,,xin lỗi,ขอโทษ (kho thot),တောင်းပန်ပါတယ် (taung pan par tal),ごめんなさい (gomennasai),미안합니다 (mianhamnida),,1
11-2,16,沒關係,méi guānxi,,Không sao,ไม่เป็นไร (mai pen rai),ပြဿနာမရှိပါ (pyat tha nar ma shi par),問題ない (mondai nai),문제 없다 (munje eopda),,1
11-2,17,有線電視,yǒuxiàn diànshì,,truyền hình cáp,เคเบิลทีวี (khe boen thi wi),ကေဘယ်တီဗီ (cable TV),ケーブルテレビ (kēburuterebi),케이블 TV (keibeul TV),,1
12-1,1,計畫,jìhuà,V,dự định,กะว่า (ka wa),စီစဉ်သည် (si sin thi),計画する (keikaku suru),계획하다 (gyehoekhada),,1
12-1,2,年,nián,M,năm,ปี (pee),နှစ် (hnit),年 (nen),년 (nyeon),,1
12-1,3,久,jiǔ,Vs,lâu,นาน (nan),ကြာ (kyar),長い (nagai),오래 (orae),,1
12-1,4,時間,shíjiān,N,thời gian,เวลา (we la),အချိန် (a chain),時間 (jikan),시간 (sigan),,1
12-1,5,先,xiān,Adv,đầu tiên,แรก (raek),ပထမ (pa hta ma),最初 (saisho),먼저 / 처음 (meonjeo / cheoeum),,1
12-1,6,念,niàn,V,học,เรียน (rian),စာသင်သည် (sar thin thi),勉強する (benkyō suru),공부하다 (gongbuhada),,1
12-1,7,大學,dàxué,N,đại học,มหาวิทยาลัย (ma ha wit tha ya lai),တက္ကသိုလ် (tet ka tho),大学 (daigaku),대학교 (daehakgyo),,1
12-1,8,需要,xūyào,Vst,cần,จำเป็น (jam pen),လိုအပ်သည် (lo at thi),必要 (hitsuyō),필요하다 (piryohada),,1
12-1,9,花,huā,V,tiêu (tiền) / dùng,ใช้ (chai),သုံးသည် (thone thi),費やす (tsuiyasu),쓰다 / 보내다 (sseuda / bonaeda),,1
12-1,10,獎學金,jiǎngxuéjīn,N,học bổng,ทุนการศึกษา (thun kan suek sa),ပညာသင်ဆု (pyin nyar thin su),奨学金 (shōgakukin),장학금 (janghakgeum),,1
12-1,11,成績,chéngjī,N,điểm số,คะแนน (kha naen),အမှတ် (a hmat),成績 (seiseki),성적 (seongjeok),,1
12-1,12,學費,xuéfèi,N,học phí,ค่าเทอม (kha thoem),ကျောင်းလခ (kyaung la kha),授業料 (jugyōryō),수업료 (sueopryo),,1
12-1,13,公司,gōngsī,N,công ty,บริษัท (bo ri sat),ကုမ္ပဏီ (company),会社 (kaisha),회사 (hoesa),,1
12-1,14,替,tì,Prep,thay mặt cho,ในนามของ (nai nam khong),ကိုယ်စား (ko sar),～のために (no tame ni),~을 대신하여 (eul daesinhayeo),,1
12-1,15,希望,xīwàng,Vst,hy vọng,หวัง (wang),မျှော်လင့်သည် (hmyaw lint thi),望む (nozomu),희망하다 (huimanghada),,1
12-1,16,以後,yǐhòu,N,trong tương lai,ในอนาคต (nai a na khot),အနာဂတ်မှာ (a nar gat hmar),将来 (shōrai),미래에 (miraee),,1
12-1,17,到,dào,V,đi đến,ไปยัง (pai yang),သွားသည် (thwar thi),行く (iku),가다 (gada),,1
12-1,18,上班,shàngbān,V-sep,đi làm,ไปทำงาน (pai tham ngan),အလုပ်သွားသည် (a loke thwar thi),仕事に行く (shigoto ni iku),출근하다 (chulgeunhada),,1
12-1,19,念書,niànshū,V-sep,học tập,ศึกษา (suek sa),လေ့လာသည် (lay lar thi),勉強する (benkyō suru),공부하다 (gongbuhada),,1
12-1,20,累,lèi,Vs,mệt,เหนื่อย (nueai),မောသည် (maw thi),疲れた (tsukareta),피곤하다 (pigonhada),,1
12-1,21,語言中心,yǔyán zhōngxīn,,trung tâm ngôn ngữ,ศูนย์ภาษา (sun pha sa),ဘာသာစကားစင်တာ (bar thar sa kar center),言語センター (gengo sentā),언어 교육원 (eoneo gyoyugwon),,1
12-1,22,加油,jiāyóu,,cố lên,สู้ๆ (su su),ကြိုးစားပါ (kyo sar par),頑張って (ganbatte),수고하세요 (sugohaseyo),,1
12-2,1,工作,gōngzuò,Vi,làm việc,ทำงาน (tham ngan),အလုပ်လုပ်သည် (a loke loke thi),働く (hataraku),일하다 (ilhada),,1
12-2,2,去年,qùnián,N,năm ngoái,ปีที่แล้ว (pee thee laeo),ပြီးခဲ့တဲ့နှစ် (pyi khel tae hnit),去年 (kyonen),작년 (jangnyeon),,1
12-2,3,做 ,zuò,V,làm,ทำ (tham),လုပ်သည် (loke thi),する (suru),하다 (hada),,1
12-2,4,生意,shēngyì,N,kinh doanh,ธุรกิจ (thu ra kit),စီးပွားရေး (see pwar yay),ビジネス (bijinesu),사업 (saeop),,1
12-2,5,以後,yǐhòu,N,sau đó,หลังจากนั้น (lang chak nan),နောက်ပိုင်း (nauk paing),その後 (sonogo),그 후에 (geu hue),,1
12-2,6,好,hǎo,Vs,dễ,ง่าย (ngai),လွယ် (lwal),簡単 (kantan),쉽다 (swipda),,1
12-2,7,找,zhǎo,V,tìm kiếm,หา (ha),ရှာသည် (shar thi),探す (sagasu),찾다 (chatda),,1
12-2,8,工作,gōngzuò,N,công việc,งาน (ngan),အလုပ် (a loke),仕事 (shigoto),직업 (jigeop),,1
12-2,9,這樣,zhèyàng,N,loại này,แบบนี้ (baep nee),ဒီလိုမျိုး (de lo myo),このような (kono yō na),이런 (ireon),,1
12-2,10,國家,guójiā,N,đất nước,ประเทศ (pra thet),နိုင်ငံ (naing ngan),国 (kuni),나라 / 국가 (nara / gukga),,1
12-2,11,試,shì,Vi,thử,ลอง (long),ကြိုးစားသည် (kyo sar thi),試す (tamesu),시도하다 (sidohada),,1
12-2,12,難,nán,Vs,khó,ยาก (yak),ခက်သည် (khet thi),難しい (muzukashii),어렵다 (eoryeopda),,1
12-2,13,那麼,nàme,Ptc,thì,แล้ว (laeo),ပြီးတော့ (pyi taw),それから (sorekara),그리고 (geurigo),,1
12-2,14,再,zài,Adv,lại,อีก (ik),ထပ် (htat),また (mata),다시 (dasi),,1
12-2,15,試試看,shìshìkàn,,thử xem,ลองดู (long du),စမ်းကြည့်သည် (san kyi thi),やってみる (yatte miru),한번 해보다 (hanbeon haeboda),,1
13-1,1,生日,shēngrì,N,sinh nhật,วันเกิด (wan koet),မွေးနေ့ (mway nay),誕生日 (tanjōbi),생일 (saengil),,1
13-1,2,快樂,kuàilè,Vs,vui vẻ,มีความสุข (mee khwam suk),ပျော်ရွှင် (pyaw shwin),幸せ (shiawase),행복하다 (haengbokhada),,1
13-1,3,回來,huílái,Vi,quay lại,กลับมา (klap ma),ပြန်လာသည် (pyan lar thi),戻ってくる (modotte kuru),돌아오다 (doraoda),,1
13-1,4,啊,a,Ptc,à / ra là vậy,อ๋อ (o),ဪ (aw),ああ (aa),아 (a),,1
13-1,5,怎麼,zěnme,Adv,Tại sao?,ทำไม (tham mai),ဘာလို့ (bar lo),どうして (dōshite),어째서 (eojjaeseo),,1
13-1,6,忘（了）,wàngle,Vpt,quên,ลืม (luem),မေ့သည် (may thi),忘れる (wasureru),잊다 (itda),,1
13-1,7,記得,jìdé,Vst,nhớ,จำได้ (jam dai),မှတ်မိသည် (hmat mi thi),覚えている (oboete iru),기억하다 (gieokhada),,1
13-1,8,當然,dāngrán,Adv,tất nhiên,แน่นอน (nae non),သေချာတာပေါ့ (thay char tar paw),もちろん (mochiron),물론 (mullon),,1
13-1,9,語言,yǔyán,N,ngôn ngữ,ภาษา (pha sa),ဘာသာစကား (bar thar sa kar),言語 (gengo),언어 (eoneo),,1
13-1,10,交換,jiāohuàn,V,trao đổi,แลกเปลี่ยน (laek plian),ဖလှယ်သည် (pha lal thi),交換する (kōkan suru),교환하다 (gyohwanhada),,1
13-1,11,那麼,nàme,Adv,rất,มาก (mak),သိပ် (thate),とても (totemo),매우 (maeu),,1
13-1,12,熱心,rèxīn,Vs,nhiệt tình,กระตือรือร้น (kra tue rue ron),စိတ်အားထက်သန်စွာ (sate ar htet than swar),熱心に (nesshin ni),열정적으로 (yeoljeongjeogeuro),,1
13-1,13,西班牙文,Xībānyá wén,N,tiếng Tây Ban Nha,ภาษาสเปน (pha sa sa pen),စပိန်ဘာသာ (spain bar thar),スペイン語 (supeingo),스페인어 (seupeineo),,1
13-1,14,一樣,yíyàng,Vs,giống nhau,เหมือนกัน (muean kan),တူညီသည် (tu nyi thi),同じ (onaji),같다 (gatda),,1
13-1,15,過,guò ,V,ăn mừng,ฉลอง (cha long),ကျင်းပသည် (kyin pa thi),祝う (iwau),축하하다 (chukahada),,1
13-1,16,左右,zuǒyòu,N,khoảng,ประมาณ (pra man),ခန့် (khant),およそ (oyoso),대략 (daeryak),,1
13-1,17,門口,ménkǒu,N,cổng,ประตู (pra tu),ဂိတ် (gate),門 (mon),문 / 입구 (mun / ipgu),,1
13-1,18,西班牙,Xībānyá,,Tây Ban Nha,สเปน (sa pen),စပိန် (spain),スペイン (supein),스페인 (seupein),,1
13-1,19,生日快樂,shēngrì kuàilè,,Chúc mừng sinh nhật,สุขสันต์วันเกิด (suk san wan koet),မွေးနေ့မှာပျော်ရွှင်ပါစေ (mway nay hmar pyaw shwin par say),誕生日おめでとう (tanjōbi omedetō),생일 축하합니다 (saengil chukahamnida),,1
13-1,20,我就是,wǒ jiù shì,,Tôi nghe đây,พูดสายอยู่ (phut sai yu),ပြောနေပါတယ် (pyaw nay par tal),"はい、私です (hai, watashi desu)",여보세요 (접니다) (yeoboseyo - jeomnida),,1
13-1,21,好久不見,hǎojiǔ bújiàn,,lâu rồi không gặp,ไม่เจอกันนาน (mai joe kan nan),မတွေ့တာကြာပြီ (ma tway tar kyar pyi),お久しぶりです (ohishashiburi desu),오랜만이에요 (oraenmanieyo),,1
13-1,22,不必客氣,búbì kèqì,,Đừng khách sáo,ไม่ต้องเกรงใจ (mai tong kreng jai),အားမနာပါနဲ့ (ar ma nar par nel),遠慮しないで (enryo shinaide),사양하지 마세요 (sayanghaji maseyo),,1
13-1,23,太客氣,tài kèqì,,Bạn tốt quá.,ใจดีจัง (jai dee jang),သဘောကောင်းလိုက်တာ (tha baw kaung like tar),親切ですね (shinsetsu desu ne),친절하시네요 (chinjeolhasineyo),,1
13-2,1,禮物,lǐwù,N,quà tặng,ของขวัญ (khong khwan),လက်ဆောင် (let saung),プレゼント (purezento),선물 (seonmul),,1
13-2,2,今年,jīnnián,N,năm nay,ปีนี้ (pee nee),ဒီနှစ် (de hnit),今年 (kotoshi),올해 (olhae),,1
13-2,3,訂,dìng,V,đặt trước,จอง (jong),မှာသည် (hmar thi),予約する (yoyaku suru),예약하다 (yeyakhada),,1
13-2,4,了,le,Ptc,rồi (đã),แล้ว (laeo),ပြီ (pyi),～した (shita),~했다 (haetda),,1
13-2,5,豬腳,zhūjiǎo ,N,chân giò heo,ขาหมู (kha mu),ဝက်လက် (wet let),豚足 (tonsoku),족발 (jokbal),,1
13-2,6,麵線,miànxiàn ,N,mì sợi nhỏ / bún,เส้นหมี่ (sen mee),ကြာဇံ (kyar zan),素麺 (sōmen),소면 (somyeon),,1
13-2,7,蛋,dàn,N,trứng,ไข่ (khai),ကြက်ဥ (kyet u),卵 (tamago),계란 (gyeran),,1
13-2,8,一點,yìdiǎn,Vs,một chút,นิดหน่อย (nit noi),နည်းနည်း (nel nel),少し (sukoshi),약간 (yakgan),,1
13-2,9,傳統,chuántǒng,N,truyền thống,ประเพณี (pra phe nee),ရိုးရာ (yoe yar),伝統 (dentō),전통 (jeontong),,1
13-2,10,年輕,niánqīng,Vs,trẻ,หนุ่มสาว (num sao),ငယ်ရွယ် (ngal ywal),若い (wakai),젊다 (jeomda),,1
13-2,11,蛋糕,dàngāo,N,bánh kem,เค้ก (khek),ကိတ်မုန့် (cake mone),ケーキ (kēki),케이크 (keikeu),,1
13-2,12,對,duì ,Prep,đến,ถึง (thueng),သို့ (thoe),へ (he),~로 (ro),,1
13-2,13,祝,zhù,V,chúc,อวยพร (uai phon),ဆုတောင်းသည် (su taung thi),祈る (inoru),빌다 (bilda),,1
13-2,14,哪裡，哪裡,"Nǎlǐ, nǎlǐ",,Không có chi.,ไม่เป็นไร (mai pen rai),ကိစ္စမရှိပါ (kate sa ma shi par),どういたしまして (dōitashimashite),천만에요 (cheonmaneyo),,1
13-2,15,大部分,dà bùfèn,,phần lớn,ส่วนใหญ่ (suan yai),အများစု (a myar su),ほとんど (hotondo),대부분 (daebubun),,1
13-2,16,萬事如意,wànshì rúyì,,Vạn sự như ý.,ขอให้สมหวังทุกประการ (kho hai som wang thuk pra kan),လိုရာပြည့်ပါစေ (lo yar pyae par say),万事順調でありますように (banji junchō de arimasu yō ni),만사형통하세요 (mansahyeongtonghaseyo),,1
13-2,17,心想事成,xīnxiǎng shìchéng,,Cầu được ước thấy.,สมปรารถนา (som prat tha na),ဆုတောင်းပြည့်ပါစေ (su taung pyae par say),願いが叶いますように (negai ga kanaimasu yō ni),소원 성취하세요 (sowon seongchwihaseyo),,1
14-1,1,天氣,tiānqì,N,thời tiết,อากาศ (a kat),ရာသီဥတု (yar thi u tu),天気 (tenki),날씨 (nalssi),,1
14-1,2,冷,lěng,Vs,lạnh,หนาว (nao),အေးသည် (ay thi),寒い (samui),춥다 (chupda),,1
14-1,3,風,fēng,N,gió,ลม (lom),လေ (lay),風 (kaze),바람 (baram),,1
14-1,4,滑雪,huáxuě,V-sep,trượt tuyết,เล่นสกี (len sa ki),စကီးစီးသည် (ski see thi),スキーをする (skī o suru),스키를 타다 (seukireul tada),,1
14-1,5,春天,chūntiān,N,mùa xuân,ฤดูใบไม้ผลิ (rue du bai mai phli),နွေဦးရာသီ (nway oo yar thi),春 (haru),봄 (bom),,1
14-1,6,想,xiǎng,Vst,nhớ,คิดถึง (khit thueng),လွမ်းသည် (lwan thi),恋しい (koishii),그립다 (geuripda),,1
14-1,7,新年,xīnnián,N,Năm mới,ปีใหม่ (pee mai),နှစ်သစ် (hnit thit),新年 (shinnen),새해 (saehae),,1
14-1,8,快,kuài,Adv,sắp,เร็วๆนี้ (reo reo nee),မကြာခင် (ma kyar khin),もうすぐ (mōsugu),곧 (got),,1
14-1,9,父母,fùmǔ,N,bố mẹ,พ่อแม่ (pho mae),မိဘ (mi ba),両親 (ryōshin),부모님 (bumonim),,1
14-1,10,冬天,dōngtiān,N,mùa đông,ฤดูหนาว (rue du nao),ဆောင်းရာသီ (saung yar thi),冬 (fuyu),겨울 (gyeoul),,1
14-1,11,明年,míngnián,N,năm sau,ปีหน้า (pee na),နောက်နှစ် (nauk hnit),来年 (rainen),내년 (naenyeon),,1
14-1,12,秋天,qiūtiān,N,mùa thu,ฤดูใบไม้ร่วง (rue du bai mai ruang),ဆောင်းဦးရာသီ (saung oo yar thi),秋 (aki),가을 (gaeul),,1
14-1,13,紅葉,hóngyè,N,lá phong đỏ,ใบเมเปิ้ลแดง (bai may poen daeng),မေပယ်ရွက်နီ (maple ywet ni),紅葉 (kōyō),단풍 (danpung),,1
14-1,14,只,zhǐ,Adv,chỉ,แค่ (khae),မျှသာ (hmya thar),だけ (dake),단지 (danji),,1
14-1,15,玉山,Yùshān,,Núi Ngọc (Đài Loan),ภูเขาหยก (phu khao yok),ယွီရှန်တောင် (yu shan taung),玉山 (gyokuzan),위산 (wisan),,1
14-1,16,紐約,Niǔyuē,,New York,นิวยอร์ก (niu yok),နယူးယောက် (new york),ニューヨーク (nyūyōku),뉴욕 (nyuyok),,1
14-1,17,下雪,xiàxuě,,tuyết rơi,หิมะตก (hi ma tok),နှင်းကျသည် (hnin kya thi),雪が降る (yuki ga furu),눈이 오다 (nuni oda),,1
14-1,18,十二月底,shí’èryuè dǐ,,cuối tháng 12,ปลายเดือนธันวาคม (plai duean than wa khom),ဒီဇင်ဘာလကုန် (december la kone),12月の終わり (jūnigatsu no owari),12월 말 (sibiwol mal),,1
14-2,1,雨,yǔ,N,mưa,ฝน (fon),မိုး (moe),雨 (ame),비 (bi),,1
14-2,2,傘,sǎn,N,cái ô / dù,ร่ม (rom),ထီး (htee),傘 (kasa),우산 (usan),,1
14-2,3,颱風,táifēng,N,bão,ไต้ฝุ่น (tai fun),မုန်တိုင်း (mone taing),台風 (taifū),태풍 (taepung),,1
14-2,4,要,yào,Vaux,sẽ,จะ (cha),မည် (myi),～するつもり (suru tsumori),~할 것이다 (hal geosida),,1
14-2,5,夏天,xiàtiān,N,mùa hè,ฤดูร้อน (rue du ron),နွေရာသီ (nway yar thi),夏 (natsu),여름 (yeoreum),,1
14-2,6,濕,shī,Vs,ướt,เปียก (piak),စိုစွတ် (so sut),濡れた (nureta),젖다 (jeotda),,1
14-2,7,討厭,tǎoyàn,Vs,phiền phức,น่ารำคาญ (na ram khan),စိတ်ပျက်စရာ (sate pyet sa yar),うっとうしい (uttōshii),짜증나다 (jjajeungnada),,1
14-2,8,新聞,xīnwén,N,tin tức,ข่าว (khao),သတင်း (tha din),ニュース (nyūsu),뉴스 (nyuseu),,1
14-2,9,更,gèng,Adv,càng,ยิ่ง (ying),ပို၍ (po yue),さらに (sarani),더 (deo),,1
14-2,10,大家,dàjiā,N,mọi người,ทุกคน (thuk khon),လူတိုင်း (lu taing),みんな (minna),모두 (modu),,1
14-2,11,小心,xiǎoxīn,Vs,cẩn thận,ระวัง (ra wang),သတိထားပါ (tha ti htar par),気をつける (ki o tsukeru),조심하다 (josimhada),,1
14-2,12,可怕,kěpà,Vs,đáng sợ,น่ากลัว (na klua),ကြောက်စရာ (kyauk sa yar),怖い (kowai),무섭다 (museopda),,1
14-2,13,停,tíng,Vp,dừng,หยุด (yut),ရပ်သည် (yat thi),止まる (tomaru),멈추다 (meomchuda),,1
14-2,14,下雨,xiàyǔ,,trời mưa,ฝนตก (fon tok),မိုးရွာသည် (moe ywar thi),雨が降る (ame ga furu),비가 오다 (biga oda),,1
14-2,15,這次,zhè cì,,lần này,ครั้งนี้ (khrang nee),ဒီတစ်ခါ (de ta kha),今回 (konkai),이번 (ibeon),,1
14-2,16,上次,shàng cì,,lần trước,ครั้งที่แล้ว (khrang thee laeo),ပြီးခဲ့တဲ့တစ်ခါ (pyi khel tae ta kha),前回 (zenkai),지난번 (jinanbeon),,1
14-2,17,慢走,màn zǒu ,,"Tạm biệt, bảo trọng.",บ๊ายบาย ดูแลตัวเองนะ (bai bai du lae tua eng na),တာ့တာ ဂရုစိုက်နော် (ta ta ga yu site naw),"さようなら、気をつけて (sayōnara, ki o tsukete)","안녕, 잘 지내 (annyeong, jal jinae)",,1
15-1,1,醫生,yīshēng,N,bác sĩ,หมอ (mo),ဆရာဝန် (sa yar wun),医者 (isha),의사 (uisa),,1
15-1,2,一直,yìzhí,Adv,liên tục,ต่อเนื่อง / ตลอด (to nueang / ta lot),ဆက်တိုက် (set tike),ずっと (zutto),계속 (gyesok),,1
15-1,3,流,liú,V,chảy,ไหล (lai),စီးသည် (see thi),流れる (nagareru),흐르다 (heureuda),,1
15-1,4,鼻水,bíshuǐ,N,sổ mũi,น้ำมูกไหล (nam muk lai),နှာရည်ယို (hnar yay yo),鼻水 (hanamizu),콧물 (konmul),,1
15-1,5,頭,tóu,N,đầu,หัว (hua),ခေါင်း (khaung),頭 (atama),머리 (meori),,1
15-1,6,痛,tòng,Vs,đau,เจ็บ / ปวด (jep / puat),နာသည် (nar thi),痛い (itai),아프다 (apeuda),,1
15-1,7,胃口,wèikǒu,N,sự thèm ăn,ความอยากอาหาร (khwam yak a han),စားချင်စိတ် (sar chin sate),食欲 (shokuyoku),식욕 (sigyok),,1
15-1,8,差,chā ,Vs,tệ,แย่ (yae),ဆိုး (so),悪い (warui),나쁘다 (nappeuda),,1
15-1,9,喉嚨,hóulóng,N,họng,คอ (kho),လည်ချောင်း (lal chaung),喉 (nodo),목 (mok),,1
15-1,10,發炎,fāyán,Vp-sep,bị viêm,อักเสบ (ak sep),ရောင်ရမ်းသည် (yaung yan thi),炎症を起こす (enshō o okosu),염증이 생기다 (yeomjeung-i saenggida),,1
15-1,11,生病,shēngbìng,Vp,bị ốm,ป่วย (puai),နေမကောင်းဖြစ်သည် (nay ma kaung pyit thi),病気になる (byōki ni naru),병이 나다 (byeong-i nada),,1
