課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
7-2,5,改,gǎi,V,"correct, check (homework)","sửa, chữa (bài tập)",ถูกต้อง ตรวจสอบ (การบ้าน),မှန်ပါတယ်၊ စစ်ဆေးပါ (အိမ်စာ),修正、確認（宿題）,"맞다, 확인하다 (숙제)","corregir, verificar (tarea)","benar, periksa (pekerjaan rumah)",3
7-2,6,公公,gōnggōng,N,father-in-law (of a female),bố chồng (của người vợ),พ่อตา (ของผู้หญิง),ယောက္ခမ (မိန်းမ)၊,義父（女性の）,시아버지(여자의),suegro (de una mujer),ayah mertua (dari perempuan),3
7-2,7,全,quán,Adv,"completely, entirely",hoàn toàn,"โดยสิ้นเชิง, โดยสิ้นเชิง",လုံးဝ၊ လုံးဝ,完全に、完全に,"완전히, 완전히","completamente, enteramente","sepenuhnya, seluruhnya",3
7-2,8,靠,kào,V,"to depend on, rely on","dựa dẫm, trông cậy vào","พึ่งพา, พึ่งพา",အားကိုး၊ အားကိုး,依存する、依存する,"의지하다, 의지하다","depender de, confiar en","bergantung pada, mengandalkan",3
7-2,9,單親,dānqīn,Vs-attr,single parent,đơn thân,ผู้ปกครองคนเดียว,ကြင်ဖော်မဲ့မိဘ,ひとり親,편부모,padre soltero,orang tua tunggal,3
7-2,10,貴族,guìzú,N,"nobility, aristocrat",tầng lớp quý tộc,ขุนนางขุนนาง,မင်းမျိုးမင်းများ၊ မင်းမျိုးမင်းများ၊,貴族、貴族,"귀족, 귀족","nobleza, aristócrata","bangsawan, bangsawan",3
7-2,11,時代,shídài,N,"period, time of",thời đại,"ระยะเวลา, เวลาของ",ကာလ၊ အချိန်,期間、時期,"기간, 시간","periodo, tiempo de","periode, waktu",3
7-2,12,強,qiáng,Vs,strong,mạnh mẽ,แข็งแกร่ง,ခိုင်မာတယ်။,強い,강한,fuerte,kuat,3
7-2,13,追,zhuī,V,"to go after someone trying to establish a relationship of love, to chase",theo đuổi (trong tình yêu),ไล่ตามคนที่พยายามสร้างความสัมพันธ์แห่งความรักเพื่อไล่ตาม,အချစ်ရဲ့ ဆက်ဆံရေးကို ထူထောင်ဖို့ ကြိုးစားသူတစ်ယောက်နောက်ကို လိုက်ဖို့၊,愛の関係を確立しようとしている人を追いかけること、追いかけること,"사랑의 관계를 맺으려는 사람을 쫓다, 쫓다","perseguir a alguien que intenta establecer una relación de amor, perseguir","mengejar seseorang yang mencoba menjalin hubungan cinta, mengejar",3
7-2,14,自由,zìyóu,Vs,free,tự do,ฟรี,အခမဲ့,無料,무료,gratis,bebas,3
7-2,15,獨立,dúlì,Vs,independent,độc lập,เป็นอิสระ,လွတ်လပ်သော,独立した,독립적인,independiente,mandiri,3
7-2,16,安排,ānpái,V,"to handle, to arrange",sắp xếp,ในการจัดการเพื่อจัดเตรียม,ကိုင်တွယ်ရန်၊ စီစဉ်ရန်,扱う、手配する,"처리하다, 정리하다","manejar, arreglar","menangani, mengatur",3
7-2,17,享受,xiǎngshòu,Vst,to enjoy,tận hưởng,เพลิดเพลินไปกับ,ခံစားရန်,楽しむ,즐기다,disfrutar,menikmati,3
7-2,18,身邊,shēnbiān,N,by one's side,bên cạnh,อยู่ข้างๆ,တစ်ဖက်မှာ,側に,옆에서,al lado de uno,di sisi seseorang,3
7-2,19,伴,bàn,N,companion,"bạn đồng hành, người bạn đời",สหาย,အဖော်,仲間,동반자,compañero,pendamping,3
7-2,20,同居,tóngjū,Vi,"to live together (as a couple), to cohabit",sống chung (như vợ chồng),อยู่ด้วยกัน (เป็นคู่) อยู่ร่วมกัน,အတူတကွနေထိုင်ရန် (စုံတွဲတစ်တွဲ)၊,（夫婦として）一緒に住む、同棲する,"(부부로서) 동거하다, 동거하다","vivir juntos (como pareja), convivir","hidup bersama (berpasangan), hidup bersama",3
7-2,21,成家,chéngjiā,Vp,"to set up a family, to marry (from the male’s perspective)",lập gia đình (từ góc nhìn của đàn ông),เพื่อสร้างครอบครัว การแต่งงาน (ในมุมมองของผู้ชาย),အိမ်ထောင်တစ်ခုထူထောင်ရန်၊ (ယောက်ျား၏အမြင်)၊,家庭を築く、結婚する（男性の視点から）,"가정을 이루다, 결혼하다 (남자 입장에서)","formar una familia, casarse (desde la perspectiva masculina)","membentuk sebuah keluarga, menikah (dari sudut pandang laki-laki)",3
7-2,22,負擔,fùdān,V,"to bear (a burden, responsibility)","gánh vác (trách nhiệm, gánh nặng)","ที่จะแบกรับ (ภาระ, ความรับผิดชอบ)",ထမ်းရန် (ဝန်၊ တာဝန်),（重荷、責任を）負う,"(부담, 책임을) 지다","soportar (una carga, responsabilidad)","menanggung (beban, tanggung jawab)",3
7-2,23,養家,yǎngjiā,V-sep,to support one's family,nuôi gia đình,เพื่อเลี้ยงดูครอบครัว,မိသားစုကိုထောက်ပံ့ဖို့,家族を養うために,가족을 부양하기 위해,mantener a la familia,menghidupi keluarga seseorang,3
7-2,24,責任,zérèn,N,responsibility,trách nhiệm,ความรับผิดชอบ,တာဝန်,責任,책임,responsabilidad,tanggung jawab,3
7-2,25,亂,luàn,Vs,"to be in turmoil, be in chaos",hỗn loạn,"อยู่ในความโกลาหล, อยู่ในความสับสนวุ่นวาย",ရုန်းရင်းခတ်ရင်း၊ ပရမ်းပတာဖြစ်ပါစေ။,混乱状態にある、混乱状態にある,"혼란에 빠지다, 혼돈에 빠지다","estar en confusión, estar en caos","berada dalam kekacauan, berada dalam kekacauan",3
7-2,26,教養,jiàoyǎng,V,"to raise, bring up, train, educate (one's children)","dạy dỗ, giáo dục (con cái)",เลี้ยงดู อบรมสั่งสอน (ลูกของตน),ပြုစုပျိုးထောင်ရန်၊ ပြုစုပျိုးထောင်ရန်၊ လေ့ကျင့်ပေးခြင်း၊ ပညာပေးခြင်း၊,（自分の子供たちを）育てる、育てる、訓練する、教育する,"(자녀를) 키우다, 키우다, 훈련시키다, 교육시키다","criar, criar, formar, educar (a los hijos)","membesarkan, membesarkan, melatih, mendidik (anak seseorang)",3
7-2,27,接受,jiēshòu,V,to accept,chấp nhận,ตกลง (toklong) / ยอมรับ (yom rap),လက်ခံသည် (let khan thi),承諾する (shōdaku suru) / 引き受ける (hikiukeru),승낙하다 (seungnakhada) / 수락하다 (surakhada),aceptar,menerima,3
7-2,28,組成,zǔchéng,V,to form,"hình thành, tạo thành",เพื่อสร้าง,ဖွဲ့စည်းရန်,形成する,형성하다,formar,membentuk,3
7-2,29,道德,dàodé,Vs,moral,đạo đức,ศีลธรรม,ကိုယ်ကျင့်တရား,道徳,도의적인,moral,moral,3
7-2,30,因此,yīncǐ,Conj,"therefore, so","vì vậy, do đó",เพราะฉะนั้น (phro cha nan),ဒါကြောင့် (dar kyaung),したがって (shitagatte),그러므로 (geureomeuro),"por lo tanto, entonces","oleh karena itu, jadi",3
7-2,31,完整,wánzhěng,Vs,"complete, integral, whole","trọn vẹn, đầy đủ","สมบูรณ์, สมบูรณ์, ทั้งหมด",အပြည့်အစုံ၊ တစ်ဆက်တည်း၊ တစ်ခုလုံး,完全な、完全な、完全な,"완전한, 완전한, 완전한","completo, integral, entero","lengkap, utuh, utuh",3
7-2,32,美真,Měizhēn,,female person's name,Mỹ Chân (tên người),ชื่อบุคคลหญิง,အမျိုးသမီးအမည်,女性の人の名前,여자 사람 이름,nombre de la persona femenina,nama orang perempuan,3
7-2,33,家華,Jiāhuá,,male person's name,Gia Hoa (tên người),ชื่อบุคคลชาย,ယောက်ျားအမည်,男性の人の名前,남자 이름,nombre de la persona masculina,nama orang laki-laki,3
7-2,34,風雲人物,fēngyún rénwù ,,"mover and shaker, popular and influential person",nhân vật nổi tiếng và có ảnh hưởng,ผู้เสนอญัตติและผู้เขย่าบุคคลยอดนิยมและมีอิทธิพล,mover နှင့် shaker ၊ နာမည်ကြီးပြီး သြဇာရှိသူ,動かす人、揺るがす人、人気があり影響力のある人,"유력 인사, 인기 있고 영향력 있는 사람","persona que mueve y agita, persona popular e influyente","penggerak dan pengocok, orang yang populer dan berpengaruh",3
7-2,35,下決心,xià juéxīn,,"to resolve oneself, make up one's mind (to do something) ","quyết tâm, hạ quyết tâm","ที่จะแก้ไขตัวเอง, ตัดสินใจ (ทำอะไรสักอย่าง)",ကိုယ့်ကိုယ်ကို ဖြေရှင်းဖို့၊ တစ်ခုခုလုပ်ရန်,決意する、（何かをする）決心をする,"(뭔가를) 결심하다, 결심하다","decidirse, decidirse (hacer algo)","menyelesaikan diri sendiri, mengambil keputusan (untuk melakukan sesuatu)",3
8-1,1,整夜,zhěngyè,N,all night,suốt đêm,ทั้งคืน,တစ်ညလုံး,一晩中,밤새도록,toda la noche,sepanjang malam,3
8-1,2,開,kāi,V,"to turn on, to power on","bật, mở (đèn, máy...)",เพื่อเปิดเครื่อง,ဖွင့်ရန်၊ ပါဝါဖွင့်ရန်,電源を入れる、電源を入れる,"켜다, 전원을 켜다","encender, encender","menghidupkan, menghidupkan",3
8-1,3,燈,dēng,N,"light, lamp","đèn, bóng đèn","แสง, โคมไฟ",အလင်း၊ မီးခွက်,ライト、ランプ,"빛, 램프","luz, lámpara","cahaya, lampu",3
8-1,4,電玩,diànwán,N,video game,trò chơi điện tử,วิดีโอเกม,ဗီဒီယိုဂိမ်း,ビデオゲーム,비디오 게임,videojuego,permainan video,3
8-1,5,球賽,qiúsài,N,ball game,trận đấu bóng,เกมบอล,ဘောလုံးဂိမ်း,球技,공 게임,juego de pelota,permainan bola,3
8-1,6,激動,jīdòng,Vs,to be excited,"kích động, hào hứng",ที่จะตื่นเต้น,စိတ်လှုပ်ရှားဖို့,興奮する,흥분하다,estar emocionado,menjadi bersemangat,3
8-1,7,喊,hǎn,Vi,"to yell, shout","la hét, hò hét",ตะโกนตะโกน,ဟစ်အော်,叫ぶ、叫ぶ,"소리치다, 소리치다","gritar, gritar","berteriak, berteriak",3
8-1,8,公職,gōngzhí,N,government posts,chức vụ trong chính phủ,โพสต์ของรัฐบาล,အစိုးရရာထူးများ,政府のポスト,정부 직책,puestos gubernamentales,pos pemerintah,3
8-1,9,其實,qíshí,Adv,"in fact, actually",trên thực tế,อันที่จริงแล้ว,တကယ်တော့၊,実際に、実際に,"사실, 실제로","de hecho, en realidad","sebenarnya, sebenarnya",3
8-1,10,公務員,gōngwù yuán,N,civil servant,công chức,ข้าราชการ,နိုင်ငံ့ဝန်ထမ်း,公務員,문관,funcionario público,pegawai negeri,3
8-1,11,煩,fán,Vs,"a ""drag"", a pain in the neck","phiền toái, rắc rối","""ลาก"" ปวดคอ","""ဆွဲ"" လည်ပင်းနာကျင်မှု",「引きずり」、首の痛み,"""끌림"", 목의 통증","un ""arrastre"", un dolor en el cuello","sebuah ""tarikan"", sakit di leher",3
8-1,12,聽話,tīnghuà,Vs-sep,"to listen, to obey",nghe lời,ที่จะฟังที่จะเชื่อฟัง,နားထောင်ရန်၊ နာခံရန်,聞くこと、従うこと,"듣다, 순종하다","escuchar, obedecer","mendengarkan, mematuhi",3
8-1,13,失業率,shīyèlǜ,N,unemployment rate,tỷ lệ thất nghiệp,อัตราการว่างงาน,အလုပ်လက်မဲ့နှုန်း,失業率,실업률,tasa de desempleo,tingkat pengangguran,3
8-1,14,門,mén,M,measure word for academic courses,lượng từ cho môn học,วัดคำสำหรับหลักสูตรวิชาการ,ပညာရပ်ဆိုင်ရာ သင်တန်းများအတွက် စကားလုံး တိုင်းတာခြင်း။,学術コースの単語を測定する,학업 과정에 대한 단어 측정,medir palabra para cursos académicos,mengukur kata untuk kursus akademik,3
8-1,15,讀書,dúshū,V-sep,to study,học bài,เพื่อศึกษา,လေ့လာရန်,勉強する (benkyō suru),공부하다 (gongbuhada),estudiar,belajar,3
8-1,16,學分,xuéfēn,N,(academic) credits,tín chỉ (học thuật),หน่วยกิต (วิชาการ),(ပညာရပ်ဆိုင်ရာ) ခရက်ဒစ်များ,（学術）単位,(학업) 학점,créditos (académicos),kredit (akademik),3
8-1,17,修,xiū,V,to take (courses),học (môn học),ที่จะใช้ (หลักสูตร),(သင်တန်းများတက်ရန်),受講する（コース）,(강좌를) 수강하다,tomar (cursos),mengambil (kursus),3
8-1,18,專心,zhuānxīn,Vs,"to focus on, concentrate",tập trung,"มุ่งเน้น, มีสมาธิ",အာရုံစိုက်ရန်၊ အာရုံစိုက်ပါ။,集中する、集中する,"집중하다, 집중하다","centrarse en, concentrarse","fokus, berkonsentrasi",3
8-1,19,修課,xiūkè,V-sep,to take a class,tham gia lớp học,เพื่อเข้าเรียน,အတန်းတက်ရန်,授業を受ける,수업을 듣다,tomar una clase,mengambil kelas,3
8-1,20,輔系,fǔxì,N,minor (in college),ngành học phụ (bằng phụ),ผู้เยาว์ (ในวิทยาลัย),အလယ်တန်း (ကောလိပ်),未成年（大学在学中）,부전공 (대학에서),menor (en la universidad),di bawah umur (di perguruan tinggi),3
8-1,21,瘋,fēng,Vp,"to go crazy, to be insane","phát điên, cuồng",บ้าไปแล้วจะบ้า,ရူးချင်မှရူး,気が狂うこと、気が狂うこと,"미쳐버리다, 미쳐버리다","volverse loco, estar demente","menjadi gila, menjadi gila",3
8-1,22,誇張,kuāzhāng,Vs,to be exaggerated,"cường điệu, phóng đại",ที่จะพูดเกินจริง,ပုံကြီးချဲ့ရန်,誇張される,과장하다,ser exagerado,dilebih-lebihkan,3
8-1,23,舉行,jǔxíng,V,"to hold (a conference, exhibition)","tổ chức (hội nghị, triển lãm)","ที่จะจัดขึ้น (การประชุม, นิทรรศการ)",ကျင်းပရန် (ညီလာခံ၊ ပြပွဲ),（会議、展示会）を開催する,"(회의, 전시회를) 개최하다","celebrar (una conferencia, exposición)","mengadakan (konferensi, pameran)",3
8-1,24,遺憾,yíhàn,Vs,"regretful (that something undesirable happened), a pity, a shame","đáng tiếc, hối tiếc","เสียใจ (ที่เกิดเรื่องอันไม่พึงประสงค์), น่าเสียดาย, น่าเสียดาย",ဝမ်းနည်းစရာ (မလိုလားအပ်တဲ့ အရာတစ်ခု ဖြစ်ခဲ့ရတယ်)၊ သနားစရာ၊ ရှက်စရာ,残念（望ましくないことが起こったこと）、残念、残念,"(바람직하지 못한 일이 일어난 것을) 유감스럽게 생각하다, 안타깝다, 안타깝다","arrepentido (que haya sucedido algo indeseable), una lástima, una vergüenza","menyesal (terjadi sesuatu yang tidak diinginkan), sayang, malu",3
8-1,25,兒子,érzi,N,son,con trai,ลูกชาย,သား,息子,아들,hijo,putra,3
8-1,26,期望,qíwàng,N,expectations,kỳ vọng,ความคาดหวัง,မျှော်လင့်ချက်များ,期待,기대,esperanzas de heredar,harapan,3
8-1,27,狀元,zhuàngyuán,N,top-ranking in a public exam (originally the person with the highest marks on the imperial test),"trạng nguyên (người đỗ đầu), người giỏi nhất",อันดับสูงสุดในการสอบสาธารณะ (แต่เดิมเป็นบุคคลที่มีคะแนนสูงสุดในการทดสอบจักรวรรดิ),အများသူငှာ စာမေးပွဲတွင် ထိပ်တန်းအဆင့် (မူလက နယ်ချဲ့စာမေးပွဲတွင် အမှတ်အများဆုံးရှိသူ),公試の成績上位者（本来は科挙の最高点者）,공무원 시험 1등 (원래는 황실 시험에서 가장 높은 점수를 받은 사람),primer puesto en un examen público (originalmente la persona con las notas más altas en el examen imperial),peringkat teratas dalam ujian publik (awalnya orang dengan nilai tertinggi pada ujian kekaisaran),3
8-1,28,努力,nǔlì,Vs,diligent in,"nỗ lực, chăm chỉ",ขยันใน,လုံ့လရှိခြင်း။,熱心に取り組む,부지런히,diligente en,rajin dalam,3
8-1,29,怎麼回事,zěnme huíshì,,What's wrong?,Có chuyện gì vậy?,เกิดอะไรขึ้น?,ဘာမှားလို့လဲ?,どうしたの？,무슨 일이야?,¿Qué ocurre?,Ada apa?,3
8-1,30,大喊大叫,dàhǎn dàjiào,,"to yell, yelling, shouting",la hét ầm ĩ,"ที่จะตะโกน, ตะโกน, ตะโกน",အော်ဟစ်ခြင်း၊ အော်ဟစ်ခြင်း၊,叫ぶ、叫ぶ、叫ぶ,"소리 지르다, 소리 지르다, 소리 지르다","gritar, chillar, chillar","berteriak, berteriak, berteriak",3
8-1,31,期中考,qízhōng kǎo,,mid-term exam,kỳ thi giữa kỳ,การสอบกลางภาค,အလယ်တန်းစာမေးပွဲ,中間試験,중간고사,examen de mitad de período,ujian tengah semester,3
8-1,32,密集班,mìjí bān,,intensive course,lớp học cấp tốc,หลักสูตรเข้มข้น,အထူးကြပ်မတ်သင်တန်း,集中コース,집중 코스,curso intensivo,kursus intensif,3
8-1,33,畢業展,bìyè zhǎn,,graduation exhibition,triển lãm tốt nghiệp,นิทรรศการการสำเร็จการศึกษา,ဘွဲ့နှင်းသဘင်ပြပွဲ,卒業制作展,졸업전시회,exposición de graduación,pameran kelulusan,3
8-1,34,服裝設計,fúzhuāng shèjì,,fashion design,thiết kế thời trang,การออกแบบแฟชั่น,ဖက်ရှင်ဒီဇိုင်း,ファッションデザイン,패션 디자인,diseño de moda,desain busana,3
8-1,35,醫學系,yīxué xì,,department of medicine,khoa Y,แผนกการแพทย์,ဆေးဌာန,医学部,의학과,departamento de medicina,departemen kedokteran,3
8-1,36,行行出狀元,hángháng chū zhuàngyuán,,there is a leader in every industry,ngành nào cũng có người giỏi,มีผู้นำในทุกอุตสาหกรรม,လုပ်ငန်းတိုင်းမှာ ခေါင်းဆောင်တစ်ယောက်ရှိတယ်။,どの業界にもリーダーがいる,모든 산업에는 리더가 있다,hay un líder en cada industria,ada pemimpin di setiap industri,3
8-2,1,冠軍,guànjūn,N,"champion, championship","quán quân, chức vô địch","แชมป์, แชมเปี้ยนชิพ",ချန်ပီယံ၊ ချန်ပီယံ,チャンピオン、チャンピオンシップ,"챔피언, 챔피언십","campeón, campeonato","juara, kejuaraan",3
8-2,2,大賽,dàsài,N,"a major, usually international, competition",cuộc thi lớn (thường quốc tế),การแข่งขันที่สำคัญซึ่งมักจะเป็นระดับนานาชาติ,အဓိက၊ အများအားဖြင့် နိုင်ငံတကာ ပြိုင်ပွဲတစ်ခု,主要な、通常は国際的なコンテスト,"주요한, 일반적으로 국제적인 대회","una competencia importante, generalmente internacional","kompetisi besar, biasanya internasional",3
8-2,3,通過,tōngguò,Vpt,to pass,"vượt qua (kỳ thi), được thông qua",ที่จะผ่าน,ဖြတ်သန်းရန်,通過する,통과하다,pasar,lulus,3
8-2,4,高級,gāojí,Vs-attr,"high level, advanced","trình độ cao, nâng cao",ระดับสูงขั้นสูง,အဆင့်မြင့်၊ အဆင့်မြင့်,高いレベルの、高度な,"높은 수준, 고급","alto nivel, avanzado","tingkat tinggi, maju",3
8-2,5,碩士,shuòshì,N,master's degree,bằng thạc sĩ,ปริญญาโท,မဟာဘွဲ့,修士号,석사 학위,maestría,gelar master,3
8-2,6,面試,miànshì,N,interview,buổi phỏng vấn,สัมภาษณ์,အင်တာဗျူး,インタビュー,회견,entrevista,wawancara,3
8-2,7,卻,què,Adv,"but, yet","nhưng, thế mà",แต่ยัง,သို့သော်၊,しかし、それでも,그래도 역시,"pero, todavía","tapi, belum",3
8-2,8,國中,guózhōng,N,junior middle school,trường trung học cơ sở,มัธยมต้น,အလယ်တန်းကျောင်း,中学校,중학교,escuela secundaria,sekolah menengah pertama,3
8-2,9,學歷,xuélì,N,educational background,"học lực, trình độ học vấn",วุฒิการศึกษา,ပညာရေးနောက်ခံ,学歴,교육적 배경,antecedentes educativos,latar belakang pendidikan,3
8-2,10,拒絕,jùjué,V,to reject,từ chối,ที่จะปฏิเสธ,ငြင်းပယ်ရန်,拒否する,거절하다,rechazar,menolak,3
8-2,11,引起,yǐnqǐ,Vpt,"to stir up, generate, cause","gây ra (sự chú ý, tranh cãi...)","เพื่อปลุกปั่น, ก่อกำเนิด, ก่อให้เกิด",လှုံ့ဆော်ရန်၊ ဖန်တီးရန်၊ ဖြစ်ပေါ်စေသည်။,かき立てる、生み出す、引き起こす,"휘젓다, 일으키다, 일으키다","agitar, generar, causar","membangkitkan, menghasilkan, menyebabkan",3
8-2,12,彈性,tánxìng,N,flexibility,sự linh hoạt,ความยืดหยุ่น,ပြောင်းလွယ်ပြင်လွယ်,柔軟性,유연성,flexibilidad,fleksibilitas,3
8-2,13,改變,gǎibiàn,V,to undergo change,thay đổi,เพื่อรับการเปลี่ยนแปลง,ပြောင်းလဲခြင်းကို ခံယူရန်,変化を受ける,변화를 겪다,sufrir cambios,menjalani perubahan,3
8-2,14,制度,zhìdù,N,system,"chế độ, hệ thống",ระบบ,စနစ်,システム,체계,sistema,sistem,3
8-2,15,基礎,jīchǔ,N,"foundation, fundamentals ","nền tảng, cơ sở","รากฐาน, พื้นฐาน",အခြေခံအုတ်မြစ်၊ အခြေခံအချက်များ,基礎、基礎,"기초, 기본","fundamento, fundamentos","landasan, fundamental",3
8-2,16,認真,rènzhēn,Vs,"earnest, serious","nghiêm túc, chăm chỉ",จริงจังจริงจัง,လေးနက်သော၊ လေးနက်သော,真剣な、真剣な,"진지한, 진지한","serio, serio","sungguh-sungguh, serius",3
8-2,17,公平,gōngpíng,Vs,fair,công bằng,ยุติธรรม,တရားမျှတသော,公平,공정한,justo,adil,3
8-2,18,出生,chūshēng,Vp,to be born,được sinh ra,ที่จะเกิด,မွေးဖွားရန်,生まれる,태어나다,nacer,dilahirkan,3
8-2,19,窮,qióng,Vs,poor,nghèo khó,ยากจน,ဆင်းရဲ,貧しい,가난한,pobre,miskin,3
8-2,20,父親,fùqīn,N,father,"cha, bố",พ่อ,အဖေ,父親,아버지,padre,ayah,3
8-2,21,母親,mǔqīn,N,mother,"mẹ, má",แม่,အမေ,母親,어머니,madre,ibu,3
8-2,22,學徒,xuétú,N,apprentice,người học việc,เด็กฝึกงาน,အလုပ်သင်,見習い,도제,aprendiz,anak magang,3
8-2,23,吃苦,chīkǔ,Vs-sep,experience tough times,"chịu khổ, trải qua khó khăn",ประสบกับช่วงเวลาที่ยากลำบาก,ခက်ခဲတဲ့အချိန်တွေကို တွေ့ကြုံခံစားပါ။,厳しい時代を経験する,힘든 시기를 경험하다,experimentar tiempos difíciles,mengalami masa-masa sulit,3
8-2,24,明白,míngbái,Vst,to understand,hiểu,เข้าใจ (khao jai) / ทราบ (sap) (polite),နားလည်သည် (nar le thi),理解する (rikai suru),이해하다 (ihaehada),entender,memahami,3
8-2,25,當兵,dāngbīng,V-sep,"to be a soldier, to do military service","đi lính, thực hiện nghĩa vụ quân sự","จะเป็นทหาร, เพื่อรับราชการทหาร",စစ်မှုထမ်းရန်၊ စစ်မှုထမ်းရန်,兵士になる、兵役に就く,"군인이 되다, 군 복무를 하다","ser soldado, hacer el servicio militar","menjadi tentara, melakukan dinas militer",3
8-2,26,認字,rènzì,Vi,to learn characters,nhận mặt chữ,เพื่อเรียนรู้ตัวละคร,ဇာတ်ကောင်များလေ့လာရန်,文字を学ぶ,문자를 배우다,aprender personajes,mempelajari karakter,3
8-2,27,烘焙,hōngbèi,V,to bake,nướng (bánh),ที่จะอบ,ဖုတ်ရန်,焼く,굽다,hornear,memanggang,3
8-2,28,學習,xuéxí,V,to study,học tập,เพื่อศึกษา,လေ့လာရန်,勉強する (benkyō suru),공부하다 (gongbuhada),estudiar,belajar,3
8-2,29,技術,jìshù,N,skills,"kỹ năng, kỹ thuật",ทักษะ,ကျွမ်းကျင်မှု,スキル,기술,habilidades,keterampilan,3
8-2,30,藝術,yìshù,N,art,nghệ thuật,ศิลปะ,အနုပညာ,美術,미술,arte,seni,3
8-2,31,經過,jīngguò ,Prep,after,sau khi,หลังจาก,ပြီးနောက်,後,~ 후에,después,setelah,3
8-2,32,終於,zhōngyú,Adv,finally,cuối cùng,ในที่สุด,နောက်ဆုံးတော့,ついに,마지막으로,finalmente,Akhirnya,3
8-2,33,億,yì,N,100 million,một trăm triệu,100 ล้าน,သိန်း ၁၀၀,1億,1억,100 millones,100 juta,3
8-2,34,夢想,mèngxiǎng,N,"dream, ideals (not during sleep)","giấc mơ, lý tưởng",ความฝัน อุดมคติ (ไม่ใช่ตอนหลับ),အိပ်မက်၊ စိတ်ကူးများ (အိပ်နေစဉ်မဟုတ်),夢、理想（睡眠中は除く）,"꿈, 이상(수면 중 아님)","sueño, ideales (no durante el sueño)","mimpi, cita-cita (bukan saat tidur)",3
8-2,35,成為,chéngwéi,Vpt,to become,trở thành,เปลี่ยน (plian) / กลายเป็น (klai pen),ပြောင်းလဲသည် (pyoung le thi) / ဖြစ်လာသည် (pyit la thi),変わる (kawaru) / なる (naru),변하다 (byeonhada) / 되다 (doeda),convertirse en,menjadi,3
8-2,36,企業家,qìyèjiā,N,entrepreneur ,doanh nhân,ผู้ประกอบการ,လုပ်ငန်းရှင်,起業家,기업가,emprendedor,pengusaha,3
8-2,37,分店,fēndiàn,N,"branch store, branch office","chi nhánh (cửa hàng, văn phòng)","ร้านค้าสาขา, สำนักงานสาขา",ဆိုင်ခွဲ၊ ရုံးခွဲ,支店、支店,"지점, 지점","sucursal, sucursal","toko cabang, kantor cabang",3
8-2,38,原因,yuányīn,N,reason,nguyên nhân,เหตุผล,အကြောင်းပြချက်,理由,이유,razón,alasan,3
8-2,39,錄取,lùqǔ,V,"to accept (application), to admit","nhận vào, tuyển dụng",ยอมรับ (ใบสมัคร) ยอมรับ,လျှောက်လွှာကို လက်ခံသည်၊ ဝင်ခွင့်ပေးသည်,（申請を）受け入れる、認める,"(신청을) 받아들이다, 인정하다","aceptar (solicitud), admitir","menerima (permohonan), mengakui",3
8-2,40,成功,chénggōng,Vs,successful,thành công,ประสบความสำเร็จ,အောင်မြင်သည်။,成功,성공적인,exitoso,sukses,3
8-2,41,鼓勵,gǔlì,V,to encourage,"khuyến khích, động viên",เพื่อให้กำลังใจ,အားပေးရန်,励ます,격려하다,alentar,mendorong,3
8-2,42,吳寶春,Wú Bǎochūn,,a famous baker from Taiwan,Ngô Bảo Xuân (một thợ làm bánh nổi tiếng Đài Loan),ช่างทำขนมปังชื่อดังจากไต้หวัน,ထိုင်ဝမ်မှ နာမည်ကြီး မုန့်ဖုတ်ဆရာ,台湾の有名なパン屋さん,대만의 유명한 빵집,un panadero famoso de Taiwán,seorang pembuat roti terkenal dari Taiwan,3
8-2,43,新加坡,Xīnjiāpō,,Singapore,Singapore,สิงคโปร์,စင်္ကာပူ,シンガポール,싱가포르,Singapur,Singapura,3
8-2,44,日文,Rìwén,,Japanese language or writing,tiếng Nhật,ภาษาญี่ปุ่นหรือการเขียน,ဂျပန်ဘာသာစကား သို့မဟုတ် အရေးအသား,日本語または文章,일본어나 글쓰기,Lengua o escritura japonesa,bahasa atau tulisan Jepang,3
8-2,45,世界麵包大賽,shìjiè miànbāo dàsài,,The Bakery World Cup,Cúp Bánh mì Thế giới,เบเกอรี่เวิลด์คัพ,Bakery ကမ္ဘာ့ဖလား,ベーカリーワールドカップ,베이커리 월드컵,El Mundial de Panadería,Piala Dunia Toko Roti,3
8-2,46,EMBA(高級管理人員工商管理碩士),EMBA (gāojí guǎnlǐ rényuán gōngshāng guǎnlǐ shuòshì),,EMBA (Executive Master of Business Administration),EMBA (Thạc sĩ Quản trị Kinh doanh dành cho Quản lý Cấp cao),EMBA (บริหารธุรกิจมหาบัณฑิตบริหารธุรกิจ),EMBA (စီးပွားရေးစီမံခန့်ခွဲမှုမဟာ),EMBA (経営管理上級修士),EMBA (경영학 석사),EMBA (Maestría Ejecutiva en Administración de Empresas),EMBA (Master Eksekutif Administrasi Bisnis),3
8-2,47,小時候,xiǎo shíhòu ,,in one’s childhood,thời nhỏ,ในวัยเด็ก,ကလေးဘဝတွင်,子供の頃,어린 시절에,en la infancia,di masa kecil seseorang,3
