課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊,
7-1,16,激發出來,jīfā chūlái,Ph,"inspired by, stirred up by, aroused by","được truyền cảm hứng, được kích động",6,
7-1,17,發福,fāfú,Vp,to put on weight,tăng cân,6,
7-1,18,想幹嘛就幹嘛,xiǎng gànma jiù gànma,Ph,"to do what you want, to be self-indulgent","làm theo ý muốn, tự cho phép bản thân",6,
7-1,19,幹,gàn,Vi,"to do, to engage in, to undertake","làm, tham gia vào, đảm nhận",6,
7-1,20,無趣,wúqù,Vs,"boring, dull, vapid","nhàm chán, tẻ nhạt",6,
7-1,21,斟酌,zhēnzhuó,V,"to consider, to think about","suy nghĩ, cân nhắc",6,
7-1,22,何時,héshí,N,"when, whenever","khi nào, bất cứ khi nào",6,
7-1,23,閃人,shǎnrén,Vi,"to leave, to escape, to get out of the way","rời đi, trốn thoát, tránh xa",6,
7-1,24,尷尬,gāngà,Vs,awkward,"lúng túng, khó xử",6,
7-1,25,忠於,zhōngyú,Vst,to be faithful to,trung thành với,6,
7-1,26,萎縮,wěisuō,Vs,to shrink,"co lại, thu nhỏ",6,
7-1,27,當頭棒喝 ,dāngtóu bànghè,Id,"give a sharp warning, give a wakeup call, wake you up","cảnh báo nghiêm khắc, thức tỉnh",6,
7-1,28,自以為是,zìyǐ wéishì,Id,"be full of yourself, opinionated, self-righteous","tự phụ, bảo thủ",6,
7-1,29,幹嘛,gànma,Adv,Whatever for?,Để làm gì chứ?,6,
7-1,30,破綻,pòzhàn,N,"flaw, hole (in logic, etc.), fault","thiếu sót, lỗ hổng (trong logic, v.v.)",6,
7-1,31,德性,déxìng,N,"your true (negative) self, look at yourself!","con người thật (tiêu cực) của bạn, hãy nhìn lại bản thân đi!",6,
7-1,32,勇敢,yǒnggǎn,Vs,courageous,dũng cảm,6,
7-1,33,私生子,sīshēngzǐ,N,"illegitimate child, child born out of wedlock, love child",con ngoài giá thú,6,
7-1,34,縱使,zòngshǐ,Conj,"even though, even if","mặc dù, ngay cả khi",6,
7-1,35,自詡,zìxǔ,Vi,to brag that you are,khoe khoang rằng bạn là,6,
7-1,36,開明,kāimíng,Vs,enlightened,khai sáng,6,
7-1,37,知識份子,zhīshì fènzǐ,Ph,"intellectual, learned person","trí thức, người có học",6,
7-1,38,留洋,liúyáng,V-sep,to study abroad,du học,6,
7-1,39,老夫子,lǎofūzǐ,N,"conservative scholar, i.e., somebody who is stuck in the past intellectually and unwilling to let new things change him/her",học giả bảo thủ,6,
7-1,40,提早,tízǎo,Adv,"early, ahead of time","sớm, trước thời hạn",6,
7-1,41,溫和,wēnhé,Vs,"gentle, good-natured, mild-mannered","hiền lành, tốt bụng, ôn hòa",6,
7-1,42,幹架,gànjià,V-sep,"to fight with, to quarrel with","cãi nhau với, tranh cãi với",6,
7-1,43,逼出,bīchū,V,"to force out, to realise","ép buộc, thực hiện",6,
7-1,44,苦,kǔ,Vs,bitter,đắng cay,6,
7-1,45,邪惡,xié’è,Vs,"evil, bad","xấu xa, độc ác",6,
7-1,46,發揮,fāhuī,V,"to instigate, to implement, to promote","xúi giục, thực hiện, thúc đẩy",6,
7-1,47,極致,jízhì,N,to the utmost,một cách tối đa,6,
7-2,1,晚婚,wǎnhūn,N,late marriage,kết hôn muộn,6,
7-2,2,直到,zhídào ,Prep,"until, up to, to date","cho đến, cho đến nay",6,
7-2,3,心儀,xīnyí,Vst,to be attracted,bị thu hút,6,
7-2,4,表白,biǎobái,Vi,to confess (one's love),thổ lộ (tình yêu),6,
7-2,5,使命,shǐmìng,N,mission,sứ mệnh,6,
7-2,6,動力,dònglì,N,"motivation, impetus","động lực, sự thúc đẩy",6,
7-2,7,軟弱,ruǎnruò,Vs,"weak, soft, (here) passive","yếu đuối, mềm yếu, (ở đây) thụ động",6,
7-2,8,共度一生,gòngdù yìshēng,Ph,to share entire life together,chia sẻ cả cuộc đời,6,
7-2,9,頂多,dǐngduō,Adv,at most,nhiều nhất,6,
7-2,10,半生,bànshēng,N,half one's life,nửa đời người,6,
7-2,11,加碼,jiāmǎ,Vi,to add to the weight of arguments (by listing...),làm tăng sức nặng của lập luận (bằng cách liệt kê...),6,
7-2,12,之間,zhījiān,N,"in between, among","ở giữa, trong số",6,
7-2,13,模式,móshì,N,"way, mode","cách thức, phương thức",6,
7-2,14,大腦,dànǎo,N,"brain, cerebrum","não bộ, đại não",6,
7-2,15,一片空白,yípiàn kòngbái,Ph,"a blank, draw a blank (mentally)","trống rỗng, không nghĩ ra gì",6,
7-2,16,點點滴滴,diǎndiǎn dīdī,Ph,minute details,chi tiết nhỏ nhặt,6,
7-2,17,細膩,xìnì,Vs,"meticulous, sensitive to detail","tỉ mỉ, nhạy cảm với chi tiết",6,
7-2,18,細節,xìjié,N,details,chi tiết,6,
7-2,19,神經大條,shénjīng dàtiáo,Ph,"(Tw Mandarin) thick-skinned, insensitive","(Mandarin Đài Loan) mặt dày, vô tâm",6,
7-2,20,察言觀色,cháyán guānsè,Id,to be attentive to contexts,chú ý đến ngữ cảnh,6,
7-2,21,說理,shuōlǐ,Vi,"to reason, to rationalize things","suy luận, lý giải mọi thứ",6,
7-2,22,理性,lǐxìng,Vs,"rational, logical","hợp lý, logic",6,
7-2,23,不由自主,bùyóu zìzhǔ,Id,"cannot help but (do s/t), involuntarily","không thể không (làm gì đó), một cách không tự nguyện",6,
7-2,24,慣性,guànxìng,N,routine,"thói quen, lề thói",6,
7-2,25,長篇大論,chángpiān dàlùn,Id,"long-winded speech, lengthy lecture",bài diễn thuyết dài dòng,6,
7-2,26,同理心,tónglǐxīn,N,empathy,sự đồng cảm,6,
7-2,27,即,jí,Adv,"soon, immediately",ngay lập tức,6,
7-2,28,漫不經心,mànbù jīngxīn,Id,"inattentive, “not all there”","không chú ý, ""để đâu mất""",6,
7-2,29,忘記,wàngjì,Vpt,to forget,quên,6,
7-2,30,不守信用,bùshǒu xìnyòng,Ph,"break your word, untrustworthy, go back on your word","thất hứa, không đáng tin",6,
7-2,31,說話不算話,shuōhuà bú  suànhuà,Ph,"to not keep your word, your word means nothing","không giữ lời hứa, lời hứa của bạn chẳng có giá trị gì",6,
7-2,32,不幸,búxìng,Adv,unfortunately,thật không may,6,
7-2,33,拐彎抹角,guǎiwān mòjiǎo,Id,"to beat around the bush, equivocate, evade, not be direct","vòng vo, không trực tiếp",6,
7-2,34,語病,yǔbìng,N,"faulty wording, bad choice of words","dùng từ sai, lựa chọn từ ngữ tồi",6,
7-2,35,字面,zìmiàn,N,"literal meaning, surface","nghĩa đen, bề ngoài",6,
7-2,36,爭辯不休,zhēngbiàn bùxiū,Ph,to quarrel incessantly,cãi nhau không ngớt,6,
7-2,37,背後,bèihòu,N,behind,đằng sau,6,
7-2,38,微妙,wéimiào,Vs,"tricky, delicate (situations, etc.)","phức tạp, tế nhị (tình huống, v.v.)",6,
7-2,39,親身,qīnshēn,Adv,"personally, first-hand","trực tiếp, tận tay",6,
7-2,40,共同點,gòngtóngdiǎn,N,"common point, something in common, common ground","điểm chung, cái chung",6,
8-1,1,黑洞,hēidòng,N,black hole,lỗ đen,6,
8-1,2,榮耀,róngyào,N,"honor, glory","danh dự, vinh quang",6,
8-1,3,國力,guólì,N,"national power, national strength",sức mạnh quốc gia,6,
8-1,4,債務,zhàiwù,N,debt,nợ,6,
8-1,5,謹慎為之,jǐnshèn wéizhī,Ph,"be prudent, careful","thận trọng, cẩn thận",6,
8-1,1,主辦,zhǔbàn,V,to host,đăng cai tổ chức,6,
8-1,2,強心針,qiángxīnzhēn,N,"strongest encouragement, ‘a shot in the arm’","sự khích lệ mạnh mẽ, 'mũi tiêm tăng lực'",6,
8-1,3,國債,guózhài,N,national debt,nợ quốc gia,6,
8-1,4,歷經,lìjīng,V,"to experience, to go through, to have been through","trải qua, trải nghiệm",6,
8-1,5,輪,lún,M,a round of,"một đợt, một vòng",6,
8-1,6,脫穎而出,tuōyǐng érchū,Id,stand out from (the rest),nổi bật (so với phần còn lại),6,
8-1,7,申奧＝申請奧運,shēn’Ào (shēnqǐng Àoyùn),Ph,to apply to host the Olympics,nộp đơn đăng cai Thế vận hội,6,
8-1,8,宣傳,xuānchuán,N,"promotion, propaganda","quảng bá, tuyên truyền",6,
8-1,9,盛大,shèngdà,Vs,"spectacular, grand","ngoạn mục, hoành tráng",6,
8-1,10,項目,xiàngmù,N,"items, events (of competitions)","các môn, các nội dung (thi đấu)",6,
8-1,11,盛會,shènghuì,N,"grand event, huge gathering","sự kiện lớn, đại hội",6,
8-1,12,無不,wúbù,Adv,"invariably, without exception, (lit.) not one (he) doesn't","luôn luôn, không ngoại lệ",6,
8-1,13,贊助,zànzhù,V/N,"to sponsor; sponsorship, financial support",tài trợ; sự tài trợ,6,
8-1,14,宣稱,xuānchēng,V,"to claim, to assert","tuyên bố, khẳng định",6,
8-1,15,龐大,pángdà,Vs,huge,khổng lồ,6,
8-1,16,蓬勃,péngbó,Adv,vigorously,mạnh mẽ,6,
8-1,17,絢麗,xuànlì,Vs,"gorgeous, dazzling, magnificent","lộng lẫy, rực rỡ",6,
8-1,18,綻放,zhànfàng,Vp,to get into magnificent display,đi vào một màn trình diễn hoành tráng,6,
8-1,19,歸於,guīyú,Vst,to end up in,cuối cùng kết thúc bằng,6,
8-1,20,前車之鑑,qiánchē zhījiàn,Id,"mistakes made by those who came before, lessons from history, instructive precedents","bài học từ quá khứ, những sai lầm của người đi trước",6,
8-1,21,財務,cáiwù,N,financial status,tình hình tài chính,6,
8-1,22,興建,xīngjiàn,V,"to build, to construct",xây dựng,6,
8-1,23,運動場館,yùndòng chǎngguǎn,Ph,"stadium, venue for sports","sân vận động, địa điểm thể thao",6,
8-1,24,周遭,zhōuzāo,N,"surrounding, periphery","xung quanh, vùng ngoại vi",6,
8-1,25,更新,gēngxīn,V,"to update, renew","cập nhật, đổi mới",6,
8-1,26,舉債,jǔzhài,Vi,to incur debt,mắc nợ,6,
8-1,27,籌措,chóucuò,V,to raise (funds),"gây quỹ, huy động",6,
8-1,28,還清,huánqīng,V,pay off (a debt),trả hết (nợ),6,
8-1,29,施工,shīgōng,N,construction,công trình xây dựng,6,
8-1,30,塔柱,tǎzhù,N,"pylon, pillar","cột trụ, trụ cột",6,
8-1,31,花費,huāfèi,V/N,to spend; expenditures,chi tiêu; khoản chi,6,
8-1,32,預估,yùgū,Vi,to estimate,ước tính,6,
8-1,33,一路,yílù,Adv,all the way,suốt chặng đường,6,
8-1,34,人士,rénshì,N,people,người dân,6,
8-1,35,足足,zúzú,Adv,fully,một cách đầy đủ,6,
8-1,36,參與,cānyù ,V,"to participate in, to attend","tham gia, tham dự",6,
8-1,37,有餘,yǒuyú,N,in excess of,vượt quá,6,
8-1,38,超支,chāozhī,N,over-expenditure,chi tiêu vượt mức,6,
8-1,39,專屬,zhuānshǔ,N,exclusive characteristic,đặc trưng riêng biệt,6,
8-1,40,必,bì,Adv,"to be bound to, to be guaranteed to","chắc chắn sẽ, được đảm bảo sẽ",6,
8-1,41,巨額,jù’é,N,"huge amount, a large sum",một khoản tiền khổng lồ,6,
8-1,42,足以,zúyǐ,Adv,"enough to, be sufficient to","đủ để, có đủ khả năng để",6,
8-1,43,回本,huíběn,V-sep,to recover one's initial costs,thu hồi vốn ban đầu,6,
8-1,44,最終,zuìzhōng,Adv,"in the end, eventually","cuối cùng, rốt cuộc",6,
8-1,45,買單,mǎidān,V-sep,"to pay a bill, to foot the bill","thanh toán hóa đơn, trả tiền",6,
8-1,1,雅典,Yǎdiǎn,,Athens,Athens,6,
8-1,2,奧林匹克運動會,Àolínpīkè yùndònghuì,,Olympic Games,Thế vận hội Olympic,6,
8-1,3,足球賽,Shìjièbēi zúqiúsài ,,FIFA World Cup,Giải vô địch bóng đá thế giới FIFA,6,
8-1,4,蒙特婁,Méngtèlóu,,"Montreal, Canda","Montreal, Canada",6,
8-1,5,美金,Měijīn,,US dollars,Đô la Mỹ,6,
8-1,6,英鎊,Yīngbàng,,British pounds,Bảng Anh,6,
8-2,1,虧錢,kuīqián,V-sep,to lose money,lỗ tiền,6,
8-2,2,虧本,kuīběn,V-sep,"to lose money, at a loss","lỗ vốn, thua lỗ",6,
8-2,3,收場,shōuchǎng,Vp,"to end up with, fix the situation, (below) what are you going to do now?","kết thúc bằng, giải quyết tình huống, (dưới đây) giờ bạn tính làm gì?",6,
8-2,4,冷戰,lěngzhàn,N,cold war,chiến tranh lạnh,6,
8-2,5,氛圍,fēnwéi,N,"atmosphere, ambiance",bầu không khí,6,
8-2,6,突然之間,túrán zhījiān,Id,"suddenly (之間, N, among, between)",đột nhiên,6,
8-2,7,燙手山芋,tàngshǒu shānyù,Ph,"a hot potato, something nobody wants","miếng mồi ngon, thứ không ai muốn",6,
8-2,8,唯二,wéièr,Vs-attr,only two,chỉ có hai,6,
8-2,9,決選出,juéxuǎnchū,Ph,to have finalized on the selection of,đã hoàn tất việc lựa chọn,6,
8-2,10,意味,yìwèi,V,to mean,có nghĩa là,6,
8-2,11,接下,jiēxià,V,to agree to,đồng ý với,6,
8-2,12,為人稱道,wéirén chēngdào,Ph,to be praise-worthy,đáng khen ngợi,6,
8-2,13,經由,jīngyóu,Prep,"through, via, by way of","thông qua, qua",6,
8-2,14,招商,zhāoshāng,Vi,to attract investment,thu hút đầu tư,6,
8-2,15,盈餘,yíngyú,N,"profit, earnings","lợi nhuận, thu nhập",6,
8-2,16,開幕,kāimù,Vi,opening (ceremony),lễ khai mạc,6,
8-2,17,閉幕,bìmù,Vi,closing (ceremony),lễ bế mạc,6,
8-2,18,典禮,diǎnlǐ,N,ceremony,nghi lễ,6,
8-2,19,損益平衡,sǔnyì pínghéng,Ph,"break even, lit. losses and profits balance out","hòa vốn, hòa thu chi",6,
8-2,20,支撐,zhīchēng,V,to support,hỗ trợ,6,
8-2,21,後續,hòuxù,Vs-attr,follow-up,"tiếp theo, theo sau",6,
8-2,22,總共,zǒnggòng,Adv,"in total, altogether",tổng cộng,6,
8-2,23,基數,jīshù,N,base number,số cơ bản,6,
8-2,24,再者,zàizhě,Conj,"in addition, furthermore","thêm vào đó, hơn nữa",6,
8-2,25,人潮,réncháo,N,crowds,đám đông,6,
8-2,26,短期,duǎnqí,N,short term,ngắn hạn,6,
8-2,27,蚊子館,wénziguǎn,Ph,"white elephant, i.e., government projects on which huge amounts of money are spent, but after they are completed or used for a certain purpose, they are not used again. They are populated only by mosquitos.","con voi trắng, tức là những dự án của chính phủ tiêu tốn rất nhiều tiền, nhưng sau khi hoàn thành hoặc sử dụng cho một mục đích nào đó, chúng không được sử dụng lại nữa. Chúng chỉ có muỗi sinh sống.",6,
8-2,28,劑,jì,M,"dose, measure for medicinal dosage","liều, đơn vị đo liều lượng thuốc",6,
8-2,29,陷入,xiànrù,Vst,"to be caught in, to fall into","mắc kẹt trong, rơi vào",6,
8-2,30,景象,jǐngxiàng,N,"sight, scene","cảnh tượng, quang cảnh",6,
8-2,31,四年一度,sìnián yídù,Ph,once every four years,bốn năm một lần,6,
8-2,32,有/無福消受,yǒu/wúfú xiāoshòu,Id,"be fortunate enough to enjoy, not have the fortune of enjoying","may mắn được hưởng, không có phúc được hưởng",6,
8-2,33,巨象,jùxiàng,N,elephant,con voi,6,
8-2,34,狠狠,hěnhěn,Adv,"severely, viciously","nghiêm trọng, dữ dội",6,
8-2,1,奧林匹克委員會,Àohuì(Àolínpīkè wěiyuánhuì),,Olympic Committee,Ủy ban Olympic,6,
9-1,1,鄉關何處,xiāngguān héchù,Ph,Where is home? (lit.) Where is the road to my hometown?,Nhà ở đâu? (nghĩa đen) Đường về quê hương ở đâu?,6,
9-1,2,開啟,kāiqǐ,V,"to open up, to unlock","mở ra, mở khóa",6,
9-1,3,浪遊,làngyóu,Vi,"to be wandering, roaming","đang lang thang, phiêu bạt",6,
9-1,4,泰半,tàibàn,Det,"most, the majority of (泰＝大)","phần lớn, đa số",6,
9-1,5,遷移,qiānyí,N,migrating,di cư,6,
9-1,6,變換,biànhuàn,N,changes,những thay đổi,6,
9-1,7,安身,ānshēn,Vi,"to call home, to settle down","gọi là nhà, định cư",6,
9-1,8,念頭,niàntóu,N,"idea, desire","ý tưởng, mong muốn",6,
9-1,9,前提,qiántí,N,"condition, precondition, prerequisite","điều kiện, điều kiện tiên quyết",6,
9-1,1,遠行,yuǎnxíng,Vi,"to take a long trip, go on a long journey",đi một chuyến xa,6,
9-1,2,山洞,shāndòng,N,(mountain) cave,hang (núi),6,
9-1,3,姑媽,gūmā,N,aunt (on one's father's side),"cô, dì (bên nội)",6,
9-1,4,自助餐,zìzhùcān,N,cafeteria style restaurant,nhà hàng tự chọn,6,
9-1,5,寄宿生,jìsùshēng,N,"student who lives on campus, student who lives in a campus dormitory",sinh viên nội trú,6,
9-1,6,爛漫,lànmàn,Vs,"brilliant, colorful","rực rỡ, đầy màu sắc",6,
9-1,7,年歲,niánsuì,N,"the years, age","năm tháng, tuổi tác",6,
9-1,8,鄉愁,xiāngchóu,N,homesickness,nỗi nhớ nhà,6,
9-1,9,他鄉,tāxiāng,N,"a strange land, a place far from home","vùng đất xa lạ, nơi xa quê hương",6,
9-1,10,異地,yìdì,N,a place other than one's own hometown,nơi khác không phải quê hương,6,
9-1,11,腳步,jiǎobù,N,"footstep, pace, approaching","bước chân, bước đi, đang đến gần",6,
9-1,12,算計,suànjì,Vi,"to calculate, to count","tính toán, đếm",6,
9-1,13,飄泊,piāobó,Vi,to drift aimlessly,trôi dạt vô định,6,
9-1,14,不時,bùshí,Adv,often,thường xuyên,6,
9-1,15,居留,jūliú,Vi,to reside,cư trú,6,
9-1,16,來日,láirì,N,"days ahead, time ahead","những ngày trước, thời gian trước",6,
9-1,17,認定,rèndìng,V,to be committed to,cam kết với,6,
9-1,18,形態,xíngtài,N,"way of, status quo","cách thức, hiện trạng",6,
9-1,19,彷彿,fǎngfú,Vst,"to seem, as if","dường như, như thể",6,
9-1,20,旅程,lǚchéng,N,"trip, journey","chuyến đi, hành trình",6,
9-1,21,前移,qiányí,Vi,to move (forward),tiến lên (phía trước),6,
9-1,22,邁進,màijìn,Vi,to take a step forward,tiến một bước,6,
9-1,23,不巧,bùqiǎo,Vs,"by unfortunate coincidence, unfortunately","thật không may, trùng hợp đáng tiếc",6,
9-1,24,派駐,pàizhù,V,"to be stationed at, to be assigned to","đóng quân tại, được phân công đến",6,
9-1,25,流轉,liúzhuǎn,Vi,"to flow (time, etc.), to go back and forth between, to shuttle between","trôi qua (thời gian, v.v.), đi lại giữa, di chuyển qua lại",6,
9-1,26,之類,zhīlèi,N,"and the like, and what not","vân vân, những thứ tương tự",6,
9-1,27,度假,dùjià,V-sep,"to vacation, spend one's holiday","nghỉ mát, nghỉ lễ",6,
9-1,28,居所,jūsuǒ,N,"living place, residence",nơi ở,6,
9-1,29,恆常不變,héngcháng búbiàn,Id,"unchanging, permanent","không thay đổi, vĩnh viễn",6,
9-1,30,地址,dìzhǐ,N,address,địa chỉ,6,
9-1,31,養老,yǎnglǎo,Vi,"to care for in one’s old age, to live out one's retirement or old age","sống những ngày cuối đời, an hưởng tuổi già",6,
9-1,32,愕然,èrán,Vs,"stunned, astounded, taken aback","sửng sốt, kinh ngạc",6,
9-1,33,驚醒,jīngxǐng,Vp,"to frighten awake, to jolt awake, to wake with a start",giật mình tỉnh giấc,6,
9-1,34,已然,yǐrán,Adv,actually,"thực ra, hóa ra",6,
9-1,35,失根,shīgēn,Vp-sep,to lose one’s roots,đánh mất gốc rễ,6,
9-1,36,理所當然,lǐsuǒ dāngrán,Id,"take as a matter of course, take for granted, naturally think of as","xem như đương nhiên, cho là hiển nhiên",6,
9-1,37,依舊,yījiù,Adv,"still the same, as ever, as before","vẫn như xưa, như trước đây",6,
9-1,38,碧綠,bìlǜ,Vs,"dark green, verdant","xanh đậm, xanh tươi",6,
9-1,39,寧靜,níngjìng,Vs,"peaceful, serene","yên bình, thanh thản",6,
9-1,40,住所,zhùsuǒ,N,residence,nơi cư trú,6,
9-1,41,落地窗,luòdìchuāng,N,French window,cửa sổ kiểu Pháp,6,
9-1,42,望見,wàngjiàn,V,to see,nhìn thấy,6,
9-1,43,星空,xīngkōng,N,starry sky,bầu trời đầy sao,6,
9-1,44,後院,hòuyuàn,N,backyard,sân sau,6,
9-1,45,樹,shù,N,tree,cây,6,
9-1,46,松鼠,sōngshǔ,N,squirrel,con sóc,6,
9-1,47,麻雀,máquè,N,sparrow,chim sẻ,6,
9-1,48,嬉戲,xīxì,Vi,to play (like children),chơi đùa (như trẻ con),6,
9-1,49,具體,jùtǐ,Vs,"concrete, in actual fact","cụ thể, trong thực tế",6,
9-1,1,基隆,Jīlóng,,Keelung (the city of northern Taiwan),Keelung (thành phố ở phía bắc Đài Loan),6,
9-1,2,亞力山大,Yǎlìshāndà,,Alexander (name of a man),Alexander (tên người đàn ông),6,
9-2,1,地道,dìdào,Vs,"authentic, genuine","chính gốc, xác thực",6,
9-2,2,華裔,Huáyì,N,foreign citizens of Chinese ancestry ,"kiều bào, người nước ngoài gốc Hoa",6,
9-2,3,混血,hùnxiě,Vs-attr,"mixed blood, mixed race","máu lai, hỗn chủng",6,
9-2,4,係,xì,Vst,to be,là,6,
9-2,5,諸多,zhūduō,Vs-attr,"many, numerous",nhiều,6,
9-2,6,國度 ,guódù ,N,nation,quốc gia,6,
9-2,7,身世,shēnshì,N,"one’s origins, personal background","nguồn gốc, xuất thân",6,
9-2,8,多重,duōchóng,Vs-attr,multiple,nhiều,6,
9-2,9,追究,zhuījiù,V,"to investigate, to track","điều tra, truy tìm",6,
9-2,10,純粹,chúncuì,Vs,pure,thuần chủng,6,
9-2,11,公民,gōngmín,N,"citizen, (below) referendum (lit. vote by the citizens)","công dân, (dưới đây) trưng cầu dân ý",6,
9-2,12,屬意,shǔyì,Vs-attr,"to have one’s heart set on, to be partial to","thiên về, có cảm tình với",6,
9-2,13,景致,jǐngzhì,N,"view, landscape, scenery","cảnh quan, phong cảnh",6,
9-2,14,門牌 ,ménpái,N,doorplate (house number),biển số nhà,6,
9-2,15,心愛,xīnài,Vs-attr,"beloved, treasured","yêu quý, trân trọng",6,
9-2,16,家當,jiādàng,N,"property, family possessions","tài sản, của cải gia đình",6,
9-2,17,家用,jiāyòng,N,"household things, household",đồ đạc trong nhà,6,
9-2,18,安放,ānfàng,V,to place,"đặt, để",6,
9-2,19,平日,píngrì,N,"everyday, from day to day",hàng ngày,6,
9-2,20,收集,shōují,V,"to collect, to gather","sưu tầm, thu thập",6,
9-2,21,畫作,huàzuò,N,painting,bức tranh,6,
9-2,22,窗台,chuāngtái,N,windowsill,bệ cửa sổ,6,
9-2,23,盆景,pénjǐng,N,"potted plant, bonsai","cây cảnh trong chậu, bonsai",6,
9-2,24,不離不棄,bùlí búqì,Id,"ever-present, beloved","luôn hiện diện, được yêu mến",6,
9-2,25,茶壺,cháhú,N,teapot,ấm trà,6,
9-2,26,熱騰騰,rètēngtēng,Ph,"piping hot, steaming hot","nóng hổi, bốc hơi nghi ngút",6,
9-2,27,菊花,júhuā ,N,chrysanthemum,hoa cúc,6,
9-2,28,普洱,pǔ’ěr,N,"pu’er (fermented tea from Yunnan, China)","trà Phổ Nhĩ (trà lên men từ Vân Nam, Trung Quốc)",6,
9-2,29,呷,xiá,V,to drink (literary),uống (văn chương),6,
9-2,30,安家,ānjiā,Vi,"to set up one's home, to settle down, to settle in","lập nghiệp, định cư",6,
9-2,31,比如,bǐrú,Vst,"for example, for instance, like","ví dụ, chẳng hạn như",6,
9-2,32,氣候宜人,qìhòu yírén,Ph,pleasant climate,khí hậu dễ chịu,6,
9-2,33,城鎮,chéngzhèn,N,town,thị trấn,6,
9-2,34,所在,suǒzài,N,"location, where (something is at), (below) where you find","vị trí, nơi chốn",6,
9-2,35,體貼,tǐtiē,Vs,"considerate, thoughtful, loving","chu đáo, ân cần, yêu thương",6,
9-2,36,破敗,pòbài,Vs,"torn, ruined, dilapidated","rách nát, đổ nát",6,
9-2,37,懶惰,lǎnduò,Vs,lazy,lười biếng,6,
9-2,38,幅,fú,M,measure for paintings,bức (tranh),6,
9-2,39,天長地久,tiāncháng dìjiǔ,Id,"forever, here: enduring, everlasting, eternal","mãi mãi, ở đây: lâu bền, vĩnh cửu",6,
9-2,40,羈旅,jīlǚ,Vi,stay long in a strange place,sống lâu ở nơi đất khách,6,
9-2,41,驛站,yìzhàn,N,"(bus, train, etc.) stop, post, stop (along the way)","điểm dừng (xe buýt, tàu hỏa...)",6,
9-2,42,行李,xínglǐ,N,"luggage, suitcase, belongings","hành lý, va-li, tư trang",6,
9-2,43,洗滌,xǐdí,V,"to wash, to cleanse","rửa sạch, tẩy sạch",6,
9-2,44,風塵,fēngchén,N,"dust (from travel), travel fatigue","bụi đường, sự mệt mỏi sau chuyến đi",6,
9-2,45,歇腳,xiējiǎo,V-sep,"take a break, stop on the way for a rest","nghỉ ngơi, dừng chân trên đường",6,
9-2,1,哥大建築學系,Gēdà jiànzhú xuéxì,,"Columbia University, Department of Architecture","Khoa Kiến trúc, Đại học Columbia",6,
9-2,2,廣東,Guǎngdōng,,Guangdong (Canton),Quảng Đông (Trung Quốc),6,
9-2,3, 普洱,Pǔ’ěr,,"Pu’er city, Yunnan, China, where Pu’er tea is grown","Thành phố Phổ Nhĩ, Vân Nam, Trung Quốc, nơi trồng trà Phổ Nhĩ",6,
10-1,1,修練,xiūliàn,V,to undergo training in order to achieve a goal,trải qua huấn luyện để đạt mục tiêu,6,
10-1,2,記憶,jìyì,N,memory,ký ức,6,
10-1,3,詮釋,quánshì,N/V,interpretation; to interpret,diễn giải; giải thích,6,
10-1,4,相輔相成,xiāngfǔ xiāngchéng,Id,to complement each other,bổ sung cho nhau,6,
10-1,1,書中自有黃金屋,shūzhōng zìyǒu  huángjīnwū,Ph,"knowledge brings wealth, lit. there are gold houses in books (used to encourage youngsters to study)",trong sách có nhà vàng (câu khuyến khích trẻ em học tập),6,
10-1,2,讀萬卷書、行萬里路,"dú wàn juàn shū,xíng wàn lǐ lù",Ph,"read and travel a great deal, i.e., knowledge is found both in books and in travelling","đọc nhiều sách và đi nhiều nơi, tức kiến thức có cả trong sách vở và du lịch",6,
10-1,3,脫逃,tuōtáo,Vi,to escape from,trốn thoát khỏi,6,
10-1,4,實戰,shízhàn,N,"actual combat (i.e., daily life)",thực chiến (tức cuộc sống hàng ngày),6,
10-1,5,出類拔萃,chūlèi bácuì,Id,"rise above the crowd, distinguish yourself","vượt trội hơn đám đông, nổi bật",6,
10-1,6,階段,jiēduàn,N,"phase, stage, time, period","giai đoạn, thời kỳ",6,
10-1,7,孰,shú,N,"who, what, which (classical Chinese)","ai, cái gì, nào (văn ngôn)",6,
10-1,8,頗,pǒ,Adv,very (classical Chinese),rất (văn ngôn),6,
10-1,9,引人深思,yǐnrén shēnsī,Id,"cause you to ponder, thought-provoking","khiến bạn suy ngẫm, gợi suy nghĩ",6,
10-1,10,管理學院,guǎnlǐ xuéyuàn,Ph,college of management,trường/quản trị kinh doanh,6,
10-1,11,院長,yuànzhǎng,N,dean of a college,trưởng khoa,6,
10-1,12,猴子,hóuzi,N,monkey,con khỉ,6,
10-1,13,差別,chābié,N,difference,sự khác biệt,6,
10-1,14,從此,cóngcǐ,Conj,thereupon,"sau đó, ngay lập tức",6,
10-1,15,脫鉤,tuōgōu,V-sep,"to disconnect, to break away from","ngắt kết nối, tách rời",6,
10-1,16,叢林,cónglín,N,forest,rừng,6,
10-1,17,步入,bùrù,V,"to step into, to enter","bước vào, tiến vào",6,
10-1,18,野獸,yěshòu,N,"beast, wild animal","thú dữ, động vật hoang dã",6,
10-1,19,聚焦,jùjiāo,Vi,to focus,tập trung,6,
10-1,20,視野,shìyě,N,"vision, view","tầm nhìn, quan điểm",6,
